[2026-04-22 10:17:00] [INFO] === STEP 4: Add YAML Frontmatter ===
[2026-04-22 10:17:00] [INFO] Processing 1016 MD files...
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/transparencychapter.md (981 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch04s02.md (3506 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/co01.md (193 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch11s03.md (911 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch09s01.md (2888 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch14s01.md (662 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/introduction.md (665 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/philosophychapter.md (412 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch18s03.md (1640 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch17s06.md (431 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch13s04.md (732 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch16s03.md (731 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/pr01s01.md (376 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch14s06.md (837 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/raymond-art-of-unix-programming-2003.md (201339 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch04s06.md (606 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch19s05.md (737 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/configurationchapter.md (223 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch19s02.md (6029 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch02s04.md (442 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch13s03.md (3270 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch03s03.md (1002 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/c_evolution.md (1561 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch18s05.md (2427 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/community.md (376 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/unix-nature.md (266 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch15s03.md (1999 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/unix_and_oo.md (1037 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch11s07.md (636 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch15s02.md (1056 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/portabilitychapter.md (698 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch10s03.md (1641 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/pr01s02.md (514 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch11s05.md (995 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch01s08.md (359 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch17s02.md (2381 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch16s02.md (599 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch03s01.md (3012 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/apa.md (848 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch15s05.md (2212 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch04s04.md (807 words)
